,long,lat,nifA,nifD,nifE,nifEN,nifH,nifK,nifL,nifM,nifN,nifU,nifZ,anfK,vnfH,radius,LN
1,-0.172723,51.481398,1,0,1,0,1,1,0,0,0,1,0,0,1,6,2.791759469
2,-0.388195,51.668871,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3,1.304429,46.908492,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,-1.616271,6.689019,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
5,-1.678448,17.659509,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,1.79344,28.437422,0,0,1,0,1,1,0,0,1,0,0,0,0,4,2.386294361
7,100.936686,16.466539,1,1,1,1,1,1,0,0,1,1,0,1,1,10,3.302585093
8,101.682831,3.146516,1,1,1,0,1,1,0,0,0,1,0,0,1,7,2.945910149
9,102.524242,19.847022,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1.693147181
10,103.198,47.514222,0,0,0,0,1,1,0,0,0,1,0,0,1,4,2.386294361
11,103.855238,1.335138,1,0,1,0,1,1,1,0,1,1,0,0,1,8,3.079441542
12,104.080219,30.59143,1,1,1,1,1,1,1,0,1,1,0,1,1,11,3.397895273
13,-108.261372,39.793208,1,0,1,0,1,1,0,0,1,0,0,0,0,5,2.609437912
14,108.326373,13.890793,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
15,-108.430305,28.569101,1,0,1,0,1,1,0,0,1,1,0,0,1,7,2.945910149
16,11.171767,46.109178,1,1,1,1,1,1,0,0,1,1,0,1,1,10,3.302585093
17,11.587605,3.85673,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
18,112.208725,28.158202,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
19,113.977429,-22.070994,1,0,1,0,1,1,0,0,0,0,0,0,0,4,2.386294361
20,114.064552,22.542047,1,1,1,0,1,1,1,0,1,1,0,0,1,9,3.197224577
21,114.179217,22.246539,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
22,-114.367278,55.816873,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
23,116.370268,39.921992,1,1,1,1,1,1,0,0,1,1,0,0,1,9,3.197224577
24,-119.594107,45.439854,1,0,1,0,1,1,1,0,1,1,0,0,1,8,3.079441542
25,119.90893,-4.294498,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
26,12.450479,55.677396,1,0,0,0,1,1,0,0,1,1,0,0,1,6,2.791759469
27,12.472223,43.037195,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
28,12.6684,52.643851,1,1,1,1,1,1,1,0,1,1,0,1,1,11,3.397895273
29,121.480962,31.494195,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
30,121.56764,25.060427,1,1,1,1,1,1,0,0,1,1,0,1,1,10,3.302585093
31,121.590376,-26.079871,1,0,1,0,1,1,0,0,1,1,0,0,1,7,2.945910149
32,122.045446,12.591924,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
33,-123.14316,49.286867,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1.693147181
34,126.922946,37.652749,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1.693147181
35,126.941918,37.648177,1,1,1,1,1,1,1,1,1,1,0,1,1,12,3.48490665
36,127.517665,50.25975,1,1,1,1,1,1,1,1,1,1,0,1,1,12,3.48490665
37,128.726456,36.304976,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
38,-129.544225,54.962977,1,0,1,0,1,1,0,0,1,1,0,0,1,7,2.945910149
39,-13.990157,14.496841,1,1,1,0,1,1,0,0,1,0,0,0,0,6,2.791759469
40,133.401441,-21.682686,1,0,1,0,1,1,0,0,1,0,0,0,0,5,2.609437912
41,135.704484,35.04344,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
42,138.595572,-34.917607,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43,138.715034,-34.811351,1,0,1,0,1,1,0,0,1,0,0,0,0,5,2.609437912
44,139.819504,35.592438,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
45,139.825479,35.796444,1,1,1,1,1,1,0,0,1,1,0,0,1,9,3.197224577
46,-14.949554,12.015695,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
47,14.995463,46.159629,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
48,143.247376,43.812377,1,1,1,1,1,1,0,0,1,1,0,1,1,10,3.302585093
49,143.956125,-6.344331,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.693147181
50,144.153696,-36.723824,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
51,144.934887,-37.827766,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
