vOTUs,W-G-1,W-G-2,W-G-3,W-W-1,W-W-2,W-W-3,Y-G-1,Y-G-2,Y-G-3,Y-W-1,Y-W-2,Y-W-3
W-G-1__100000,7.042444,0,0,0,0,0,0,0,0,0,0,0
W-G-1__100009,6.499635,0,1.437272,5.33186,1.491058,13.292819,4.944892,9.744989,0.628686,0.503934,0.986869,1.895783
W-G-1__100021,46.594949,2.546315,32.806601,0,0,0,0,0,0,0.444545,0,0.418091
W-G-1__100039,6.167988,0,2.126661,0,0,0,0,0,0,0,2.37962,4.675163
W-G-1__100045,5.026834,0,0,0,0,0,0,0,0.443215,0,0,1.633501
W-G-1__100215,3.903397,0,0,0,0,0,0.97078,0,0,0.137406,0,0
W-G-1__100262,10.573192,0.662409,0,0,0,0,0,0,0,0,0,0
W-G-1__1003,6.362105,0,0,0,0,0,0,0,0,0,0,0
W-G-1__100361,7.067914,0,0.171489,0,0,0,0,0,0,0,0,0
W-G-1__100467,5.824973,0,0,16.178342,0,0,0,0,0,0.424743,0.166357,0
W-G-1__100496,7.83934,33.668069,0,0,0,0,0,0,0,0,0,0
W-G-1__100534,1.897259,0.751521,1.13598,0,0,0,17.729921,7.249104,2.689085,0.156194,1.468224,1.939074
W-G-1__100586,6.922356,0,0,0,0,0,0,0,0,0,0,0
W-G-1__100612,4.693156,0,0,0,0,0,0,0,0,0,0,0
W-G-1__100623,5.628552,0,0,0,0,0,0,0,0,0,5.866606,0
W-G-1__100650,10.368817,0,0,0,0,0,0,0,0,0,0,0
W-G-1__100677,31.846879,0.879775,2.346786,0,0,0,0.172246,0,0,0,8.665562,11.487543
W-G-1__100687,5.108368,0.393894,0,0,0,0,0,0,0,0,4.937871,0
W-G-1__100702,10.985396,0,0,0,0,0,0,0,0,0,0,0
W-G-1__100703,36.977138,0,0,0.072529,0,0,0,0,0,0,0,0
W-G-1__100718,19.282687,6.958791,2.206482,0,0,0,0,0,0,0,0,0
W-G-1__100747,4.591153,0,0.589739,0,0,0,0,0,0,0,0,0
W-G-1__100765,5.549576,0,0,0,0,0,0,0,0,0,0,0.560856
W-G-1__100770,6.065575,0,2.540178,0,1.0039,0,0,0,0,0,0.16611,0
W-G-1__100786,51.700484,1.404276,3.204813,0,0,0,0,0,0,3.473148,2.667283,2.305743
W-G-1__1008,10.583782,0,0,0,0,0,0,0,0,0,0,0
W-G-1__100862,5.79245,0,0,0.93535,0,0,0,0,0,0,0,0.646665
W-G-1__10088,27.471299,0,1.525542,0,0,0,0,0,0,0,0,0
W-G-1__100906,132.068934,0,0,0,0,0,0,0,0,0,0,0
W-G-1__100947,6.272896,0,0.676441,0,0,0,7.81965,0.269789,0,0.31623,0,0
W-G-1__100952,11.807132,0,0,0,0,0,0,0,0,0,0,0
W-G-1__101030,3.258671,0,0.151401,0,0,0,0,0,0,267.119,34.236228,58.845127
W-G-1__101034,12.83095,0,2.923197,0,0,0,0,0,0,12.015482,22.217441,4.510489
W-G-1__101038,9.364302,0,31.599,0.692944,0,0,2.599174,0.057944,0,0,0.066503,0
W-G-1__10104,17.193965,0,0,0,0,0,3.936785,0,0,0,0,0
W-G-1__101066,4.879596,0,0.456661,0,17.686691,2.252533,0,0,0,0,0.278716,0
W-G-1__101086,4.88098,0,0,0,0,0,0,0,0,0,0,0
W-G-1__101141,257.417521,1.467128,0,0,0,0,0,0,0,0,0,0
W-G-1__101169,12.068988,0.139976,2.96218,0,0,0,0,0,0,0,0,0
W-G-1__101189,10.499973,0,0,0,0,0,0,0,0,0,0,0
W-G-1__101197,7.829519,2.094052,0.230006,0,0,0,0,0,0,0,0,0
W-G-1__10129,8.754031,0,5.295626,0,0,0,0,0,0,0,0,0
W-G-1__101312,5.80958,5.580867,2.869499,0,0,0,4.489357,5.059707,1.189104,0,0,0.265608
W-G-1__101334,13.29441,51.665018,0,0,0,0,40.484273,4.037607,235.21452,0,0,0
W-G-1__101347,15.849901,0,0.07902,0,0,0,0,0,0,0.314001,7.270508,29.705311
W-G-1__101376,5.441146,0,0,0,0,0,0,0,0,0.132252,0,0
W-G-1__101400,7.954766,0,0,0,0,0,0,0,0,0,0,0
W-G-1__101454,13.485876,0,0,0,0,0,0,0,0,0,0,4.776286
W-G-1__101526,4.274819,0,5.53173,0,0,0,4.186987,0.275781,0,0,0,0
W-G-1__101531,9.721537,0,0,0,0,0,0,0,0,0.218114,0.106785,3.07702
W-G-1__101560,16.091012,0.068098,0.678166,0,0,0,0,0,0,0,0,0
W-G-1__101568,20.851633,0,1.188233,0,0,0,0,0,0,0.666586,0.13054,0
W-G-1__101584,5.008367,7.598411,0,0,0,0,1.464407,0,26.117266,0,0,0
W-G-1__101595,18.179155,0,0.600715,0,0,0,0,0,0,0,0.916593,0
W-G-1__101617,81.272733,0,0,0,0,0,0,0,0,0,0,0
W-G-1__10162,7.666474,0,10.699168,0,0,0.798275,2.494431,1.004048,4.845165,0.176533,0.691419,0.664111
W-G-1__101676,223.26884,0,0,0,0,0,0,0,0,0,0,0
W-G-1__101681,42.076402,1.196924,0,0,0,0,0,0,0,0,0,0
W-G-1__101745,4.80701,0,0,0,0,0,0,0,0,0,0,0
W-G-1__10175,4.095392,0,0.175353,0,0,0,0,0,0,0,0,0
W-G-1__101812,7.404408,0,4.064285,0,0,0,0,0,0,0,1.132436,1.55387
W-G-1__101862,12.381366,0,10.138808,0,0,0,0,0,0,0,0,0
W-G-1__101900,5.900099,4.824782,0,0,0,0,0,0,0,0,6.740118,0
W-G-1__101950,6.424373,0,6.131067,0,0,0,0,0,0,0,0,0
W-G-1__102005,90.335517,10.914235,0.391913,0,0,0,0,0,0,0,2.391982,2.642135
W-G-1__102022,9.59482,0,0.818435,0,0,0,0,0,0,0.025507,0,0
W-G-1__102040,5.055085,0,0,0,0,0,0,0,0,0,0,0
W-G-1__10206,31.219786,16.03807,28.631415,0,0,0,0,0,0,0,0,0
W-G-1__10207,7.121619,0,0,0,0,0,0,0,0,0,0,0
W-G-1__102090,6.891822,0,0.20902,0.443088,1.445616,9.721011,0.230121,0,0.182858,0,0.478396,1.194704
W-G-1__102101,16.492255,1.474897,2.54214,0,0,0,0,0,0,0.231083,2.521278,0.062095
W-G-1__102186,8.566462,0,0,0,0,0,0,0,0,0,0,0
W-G-1__102216,3.405026,0,63.15307,0,0,0,0,0,0,0,0,0
W-G-1__102279,6.749207,0,0.156788,0,0,0,0.086308,43.897785,4.869285,0,0.358849,0
W-G-1__102302,3.458724,0,0,0,0,0,0,0,0,0,0,0
W-G-1__1024,9.237544,0,23.971223,0,0,0,0,0,0,0.032295,0.790551,0
W-G-1__102437,4.771823,0,0,0,0,0,0,0,0.118387,0,0,0
W-G-1__102457,3.603949,0,0,0,0,0,0,0.171987,0.188624,0.251992,0,0.189597
W-G-1__102610,11.20374,0,0,0.252987,0,0,0,0.190392,0,0,0,0
W-G-1__102613,8.064591,0,0,0,0,0,0,3.21694,8.232297,1.633972,0.246143,0
W-G-1__102616,35.270872,0,0,0,0,0,0,0,0,0,0,0
W-G-1__102744,4.111598,0,0,0,0,0,0,0,0,0,0,0
W-G-1__102784,7.056129,0,0,0,0,0,0,0,0,0,0,0
W-G-1__102880,9.722249,0,0,0,0,0,0,0,0,0,0,0
W-G-1__102884,9.115053,0,1.132279,0,0,0,0,0,0,0,0,0
W-G-1__102904,21.279237,0,1.205887,0,0,0,0,0,0,0,0,0
W-G-1__102984,13.820135,0.835974,3.017862,0,0,0,0,0,0,0,0,0
W-G-1__103,3.462304,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103053,3.96292,0,0,0,0,0,4.763654,7.96478,1.747049,0,0,0
W-G-1__103064,21.882602,5.446125,62.852327,0,0,0,0,0,0,0,0,0.019231
W-G-1__103071,4.495437,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103107,8.246954,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103109,25.874477,0,0,0.560437,0,0,0,0,0,0,0,0
W-G-1__103121,4.729381,0.67267,77.874248,0,0,0,0,0,0.244182,0,18.909523,0
W-G-1__103171,9.402738,0,2.623092,0,0,0,0,0,0,0,0,0
W-G-1__103179,19.64069,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103304,15.121486,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103317,8.117576,0,0,0,0,0,0,0.098192,0,0,0.056348,0
W-G-1__1034,9.856856,2.998416,10.575436,0,0,0,0,0,0.54422,72.937357,115.042928,196.491681
W-G-1__103426,1.460839,0,5.493874,0,0,0,0,0,0,0,0,0
W-G-1__103482,47.164576,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103513,13.581857,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103560,8.832896,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103562,5.865039,0,0.222092,0,0,0,0,0,0.064764,0.138435,0,0.39059
W-G-1__103583,31.06195,0,0,0,0,0,0,0,0,0.353309,0.216217,0.415355
W-G-1__103595,6.539184,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103596,9.209098,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103659,8.032763,0,0.052518,0,0,0,0,0,0,0,0.19232,0.230905
W-G-1__103665,15.828501,0,0,0.32349,0,0,0,0.121726,0,0,0,0
W-G-1__103672,92.992632,0.538671,0,0,0,0,0,0,0,0,0,0
W-G-1__103707,4.804923,0,2.351738,0.383484,0,4.589094,1.194991,0,2.373896,0.338282,0,0.318152
W-G-1__103746,11.805798,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103755,8.522618,0.067042,0,0,0,0,0,0,0,0,0,0
W-G-1__103795,11.823341,0,2.084706,0,0,0,0,0,0,0,0,0
W-G-1__103812,38.900946,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103928,5.4538,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103941,10.636116,0,0,0,0,0,0,0,0,0,0,0
W-G-1__103981,210.345867,1.399517,0,0,0,0,0,0,0,0,0.184032,0
W-G-1__104078,14.763555,0.181106,6.988817,0,0,0,10.921003,0.899157,0,0,0,0
W-G-1__104081,7.581763,0,2.897312,0,0,0,0,0,0,0,0,0
W-G-1__104134,70.25752,0,0,0,0,0,0,0,0,0,0,0
W-G-1__104165,7.876398,0,0,0,0,0,0,0,0,0,0,0
W-G-1__104167,1.406253,0,0,0,0,0,0,0,0,0,0.992229,9.848086
W-G-1__104168,4.586839,0,0,0,0,0,0,0,0,0,0,0
W-G-1__10417,5.806584,0,0,0,0,0,0,0,0,0,0,0
W-G-1__104252,7.501234,0,0,0,0,0,0,0,0,0,0,0
